Article,Serial,Batch,New Fixture,Status,Quantity
CRB4050548,PMP941,,UJ Love Ring SM WG,Available,1
CRB4050548,SIJ773,,UJ Love Ring SM WG,Available,1
CRB4050549,PQC255,,UJ Love Ring SM WG,Available,1
CRB4050549,REV349,,UJ Love Ring SM WG,Available,1
CRB4050550,QYZ693,,UJ Love Ring SM WG,Available,1
CRB4050550,RJM067,,UJ Love Ring SM WG,Available,1
CRB4050550,SCZ246,,UJ Love Ring SM WG,Available,1
CRB4050551,PHY885,,UJ Love Ring SM WG,Available,1
CRB4050553,OTE329,,UJ Love Ring SM WG,Available,1
CRB4050553,QDV554,,UJ Love Ring SM WG,Available,1
CRB4050553,QKF746,,UJ Love Ring SM WG,Available,1
CRB4050554,TUB671,,UJ Love Ring SM WG,Available,1
CRB4050555,QAM277,,UJ Love Ring SM WG,Available,1
CRB4050555,SCZ826,,UJ Love Ring SM WG,Available,1
CRB4050556,TFU200,,UJ Love Ring SM WG,Available,1
CRB4050556,TMN096,,UJ Love Ring SM WG,Available,1
CRB4050557,QJD675,,UJ Love Ring SM WG,Available,1
CRB4050560,SJE969,,UJ Love Ring SM WG,Available,1
CRB4050560,SRC544,,UJ Love Ring SM WG,Available,1
CRB4050657,QJD449,,UJ Love Ring SM WG,Available,1
CRB4050657,RYR794,,H08,Available,1
CRB4050746,REL369,,UJ Love Ring PG,Available,1
CRB4050748,TEB513,,UJ Love Ring PG,Available,1
CRB4050749,PXW885,,UJ Love Ring PG,Available,1
CRB4050749,RRB599,,UJ Love Ring PG,Available,1
CRB4050750,QNB871,,UJ Love Ring PG,Available,1
CRB4050750,QTP876,,C023,Available,1
CRB4050751,PGW029,,UJ Love Ring PG,Available,1
CRB4050752,RZS957,,UJ Love Ring PG,Available,1
CRB4050753,PTM617,,UJ Love Ring PG,Available,1
CRB4050754,QJI997,,UJ Love Ring PG,Available,1
CRB4050755,LYP782,,UJ Love Ring PG,Available,1
CRB4050756,OHV515,,UJ Love Ring PG,Available,1
CRB4050757,RZR470,,UJ Love Ring PG,Available,1
CRB4050758,OTE754,,UJ Love Ring PG,Available,1
CRB4050758,PID025,,UJ Love Ring PG,Available,1
CRB4050849,IKN873,,C023,Available,1
CRB4050853,TSL702,,UJ Love Ring PG,Available,1
CRB4050854,UBT239,,UJ Love Ring PG,Available,1
CRB4051350,TML567,,UJ Bridal DER,Available,1
CRB4051354,MIY971,,C006,Available,1
CRB4051359,RYR446,,UJ Bridal DER,Available,1
CRB4052150,IGG004,,H05,Available,1
CRB4052152,MNK669,,C005,Available,1
CRB4052153,SHN847,,UJ Bridal WB Vendome,Available,1
CRB4052154,RCL559,,UJ Bridal WB Vendome,Available,1
CRB4052155,TWH837,,UJ Bridal WB Vendome,Available,1
CRB4052156,OST730,,UJ Bridal WB Vendome,Available,1
CRB4052157,RJF232,,UJ Bridal WB Vendome,Available,1
CRB4052158,SMF657,,UJ Bridal WB Vendome,Available,1
CRB4052159,PLN274,,H08,Available,1
CRB4052160,QWR628,,H08,Available,1
CRB4052161,TQU294,,H08,Available,1
CRB4052162,TQU261,,UJ Bridal WB Vendome,Available,1
CRB4052163,TPC126,,UJ Bridal WB Vendome,Available,1
CRB4052164,TQU235,,UJ Bridal WB Vendome,Available,1
CRB4052165,SHN932,,UJ Bridal WB Vendome,Available,1
CRB4052249,RXJ782,,UJ Bridal WB Vendome,Available,1
CRB4052250,SMF693,,UJ Bridal WB Vendome,Available,1
CRB4052251,NEQ903,,UJ Bridal WB Vendome,Available,1
CRB4052252,RCL335,,S01,Available,1
CRB4052253,TPC376,,UJ Bridal WB Vendome,Available,1
CRB4052254,TWH674,,UJ Bridal WB Vendome,Available,1
CRB4052255,TWH749,,UJ Bridal WB Vendome,Available,1
CRB4052257,NND522,,UJ Bridal WB Vendome,Available,1
CRB4052259,TPC368,,UJ Bridal WB Vendome,Available,1
CRB4052747,SHQ087,,UJ Trinity Ring Classic & XL,Available,1
CRB4052748,SPP582,,UJ Trinity Ring Classic & XL,Available,1
CRB4052749,SFN023,,UJ Trinity Ring Classic & XL,Available,1
CRB4052749,SIB353,,UJ Trinity Ring Classic & XL,Available,1
CRB4052750,TPF991,,UJ Trinity Ring Classic & XL,Available,1
CRB4052750,TPG009,,UJ Trinity Ring Classic & XL,Available,1
CRB4052751,TCC586,,UJ Trinity Ring Classic & XL,Available,1
CRB4052751,TPG338,,C016,Available,1
CRB4052752,SIB836,,UJ Trinity Ring Classic & XL,Available,1
CRB4052752,TCC518,,UJ Trinity Ring Classic & XL,Available,1
CRB4052752,TKH349,,UJ Trinity Ring Classic & XL,Available,1
CRB4052752,TKH462,,UJ Trinity Ring Classic & XL,Available,1
CRB4052753,QAG373,,UJ Trinity Ring Classic & XL,Available,1
CRB4052753,RVO527,,UJ Trinity Ring Classic & XL,Available,1
CRB4052753,SKW129,,UJ Trinity Ring Classic & XL,Available,1
CRB4052753,TDM649,,UJ Trinity Ring Classic & XL,Available,1
CRB4052753,TKH521,,UJ Trinity Ring Classic & XL,Available,1
CRB4052754,TCB767,,UJ Trinity Ring Classic & XL,Available,1
CRB4052754,TCB908,,UJ Trinity Ring Classic & XL,Available,1
CRB4052754,TCC328,,UJ Trinity Ring Classic & XL,Available,1
CRB4052755,SUO987,,UJ Trinity Ring Classic & XL,Available,1
CRB4052755,SXB059,,UJ Trinity Ring Classic & XL,Available,1
CRB4052755,TCB797,,UJ Trinity Ring Classic & XL,Available,1
CRB4052755,TKI028,,UJ Trinity Ring Classic & XL,Available,1
CRB4052757,SYL361,,UJ Trinity Ring Classic & XL,Available,1
CRB4052757,TPH324,,UJ Trinity Ring Classic & XL,Available,1
CRB4052758,TVG083,,UJ Trinity Ring Classic & XL,Available,1
CRB4052759,QYU936,,UJ Trinity Ring Classic & XL,Available,1
CRB4052760,QOB604,,UJ Trinity Ring Classic & XL,Available,1
CRB4052761,STS134,,UJ Trinity Ring Classic & XL,Available,1
CRB4052761,TLO988,,UJ Trinity Ring Classic & XL,Available,1
CRB4052762,QOB320,,UJ Trinity Ring Classic & XL,Available,1
CRB4052762,TCR646,,UJ Trinity Ring Classic & XL,Available,1
CRB4052762,TPI068,,UJ Trinity Ring Classic & XL,Available,1
CRB4052763,TEW460,,UJ Trinity Ring Classic & XL,Available,1
CRB4052764,QET447,,UJ Trinity Ring Classic & XL,Available,1
CRB4052764,TCD918,,UJ Trinity Ring Classic & XL,Available,1
CRB4052765,TLZ388,,UJ Trinity Ring Classic & XL,Available,1
CRB4052767,QIY481,,UJ Trinity Ring Classic & XL,Available,1
CRB4052850,RFN875,,UJ Trinity Ring Classic & XL,Available,1
CRB4052851,TKF395,,UJ Trinity Ring Classic & XL,Available,1
CRB4052852,RGE321,,C016,Available,1
CRB4052853,RCF337,,UJ Trinity Ring Classic & XL,Available,1
CRB4052854,QIV642,,UJ Trinity Ring Classic & XL,Available,1
CRB4052855,TKF450,,UJ Trinity Ring Classic & XL,Available,1
CRB4052856,TCE042,,UJ Trinity Ring Classic & XL,Available,1
CRB4052857,TQS614,,UJ Trinity Ring Classic & XL,Available,1
CRB4052860,RCF304,,UJ Trinity Ring Classic & XL,Available,1
CRB4052867,RQM606,,UJ Trinity Ring Classic & XL,Available,1
CRB4052949,PNQ332,,UJ Bridal WB Vendome,Available,1
CRB4052950,STP348,,UJ Bridal WB Vendome,Available,1
CRB4052951,PGI474,,UJ Bridal WB Vendome,Available,1
CRB4052952,THX646,,UJ Bridal WB Vendome,Available,1
CRB4052953,PUZ798,,UJ Bridal WB Vendome,Available,1
CRB4052954,ODV405,,UJ Bridal WB Vendome,Available,1
CRB4052955,MFB308,,C005,Available,1
CRB4054054,PVP509,,UJ Bridal WB PG,Available,1
CRB4054059,SLG109,,UJ Bridal WB PG,Available,1
CRB4054063,NYY154,,UJ Bridal WB PG,Available,1
CRB4054067,FEZ316,,UJ Bridal WB PG,Available,1
CRB4056144,TDZ692,,UJ Love Ring SM YG,Available,1
CRB4056144,TDZ693,,S05,Available,1
CRB4056148,RYT982,,UJ Love Ring SM YG,Available,1
CRB4056150,QVK706,,UJ Love Ring SM YG,Available,1
CRB4056151,SEV668,,UJ Love Ring SM YG,Available,1
CRB4056151,TUB772,,UJ Love Ring SM YG,Available,1
CRB4056153,QDV619,,UJ Love Ring SM YG,Available,1
CRB4056153,SSX122,,UJ Love Ring SM YG,Available,1
CRB4056154,QJI017,,UJ Love Ring SM YG,Available,1
CRB4056154,RJO779,,UJ Love Ring SM YG,Available,1
CRB4056155,RGK580,,UJ Love Ring SM YG,Available,1
CRB4056155,TUB954,,UJ Love Ring SM YG,Available,1
CRB4056156,PHY729,,S07,Available,1
CRB4056156,SGQ443,,UJ Love Ring SM YG,Available,1
CRB4056156,SXH392,,UJ Love Ring SM YG,Available,1
CRB4056157,PGQ511,,UJ Love Ring SM YG,Available,1
CRB4056157,SNT424,,UJ Love Ring SM YG,Available,1
CRB4056158,SXG502,,UJ Love Ring SM YG,Available,1
CRB4056159,RTN875,,UJ Love Ring SM YG,Available,1
CRB4056160,UBR387,,UJ Love Ring SM YG,Available,1
CRB4056246,SZZ995,,UJ Love Ring SM YG,Available,1
CRB4056247,SUX407,,S05,Available,1
CRB4056248,SIF058,,UJ Love Ring SM YG,Available,1
CRB4056250,SBI278,,UJ Love Ring SM YG,Available,1
CRB4056250,SEV509,,UJ Love Ring SM YG,Available,1
CRB4056254,QZA054,,C021,Available,1
CRB4056254,SCZ796,,UJ Love Ring SM YG,Available,1
CRB4056257,SCZ708,,UJ Love Ring SM YG,Available,1
CRB4057650,TWG691,,UJ Bridal DER,Available,1
CRB4057651,TIY590,,UJ Bridal DER,Available,1
CRB4057652,RMP366,,UJ Bridal DER,Available,1
CRB4057653,RPX405,,UJ Bridal DER,Available,1
CRB4057655,TIW868,,UJ Bridal DER,Available,1
CRB4057656,SZO975,,UJ Bridal DER,Available,1
CRB4057665,PSG661,,UJ Bridal DER,Available,1
CRB4057748,TEG608,,UJ Bridal DER,Available,1
CRB4059556,SZK133,,S05,Available,1
CRB4059558,RRZ617,,UJ Bridal WB PG,Available,1
CRB4059559,TCZ387,,UJ Bridal WB PG,Available,1
CRB4059561,SIP179,,H13,Available,1
CRB4059562,SWA122,,C006,Available,1
CRB4059564,TJM766,,UJ Bridal WB PG,Available,1
CRB4059656,SIF238,,UJ Bridal WB Vendome,Available,1
CRB4059658,TQC995,,UJ Bridal WB Vendome,Available,1
CRB4059659,TMM160,,UJ Bridal WB Vendome,Available,1
CRB4059660,QLV467,,C006,Available,1
CRB4059661,TFH208,,UJ Bridal WB Vendome,Available,1
CRB4059662,TTW759,,UJ Bridal WB Vendome,Available,1
CRB4059664,TTW768,,UJ Bridal WB Vendome,Available,1
CRB4059665,TMH146,,UJ Bridal WB Vendome,Available,1
CRB4059666,TTW783,,UJ Bridal WB Vendome,Available,1
CRB4059668,RYF724,,UJ Bridal WB Vendome,Available,1
CRB4059669,TMH143,,UJ Bridal WB Vendome,Available,1
CRB4059958,RBB942,,UJ Bridal WB Vendome,Available,1
CRB4059959,QRC991,,UJ Bridal WB Vendome,Available,1
CRB4059960,RRK476,,UJ Bridal WB Vendome,Available,1
CRB4059962,QHL784,,UJ Bridal WB Vendome,Available,1
CRB4059963,QRC968,,UJ Bridal WB Vendome,Available,1
CRB4059965,PGI762,,C006,Available,1
CRB4059967,PUZ237,,UJ Bridal WB Vendome,Available,1
CRB4071446,IQW029,,UJ Bridal DER,Available,1
CRB4071452,KFM141,,C006,Available,1
CRB4071851,TWD724,,UJ Bridal DER,Available,1
CRB4071852,TUP953,,S05,Available,1
CRB4071958,RPO838,,UJ Bridal WB PG,Available,1
CRB4077947,EER912,,UJ Bridal DER,Available,1
CRB4077948,SCL037,,C003,Available,1
CRB4077949,SQZ734,,UJ Bridal DER,Available,1
CRB4077950,PVT411,,C006,Available,1
CRB4077951,SYU765,,UJ Bridal DER,Available,1
CRB4078046,RTD159,,UJ Bridal WB PG,Available,1
CRB4078049,TUQ325,,UJ Bridal WB PG,Available,1
CRB4078051,TUR140,,UJ Bridal WB PG,Available,1
CRB4079853,RQY633,,UJ Bridal WB PG,Available,1
CRB4079952,THL398,,H11,Available,1
CRB4080444,NRO464,,C001,Available,1
CRB4080550,THJ133,,UJ Bridal DER,Available,1
CRB4083350,TOW475,,UJ Love Ring SM YG,Available,1
CRB4083351,NEZ031,,C021,Available,1
CRB4083352,TGR016,,UJ Love Ring SM YG,Available,1
CRB4083354,TGR032,,UJ Love Ring SM YG,Available,1
CRB4083355,SIE044,,UJ Love Ring SM YG,Available,1
CRB4083356,TYR481,,UJ Love Ring SM YG,Available,1
CRB4083450,TQI924,,UJ Love Ring SM WG,Available,1
CRB4083451,POX066,,C001,Available,1
CRB4083453,PCK785,,C022,Available,1
CRB4083454,TEC395,,UJ Love Ring SM WG,Available,1
CRB4083455,QPP212,,UJ Love Ring SM WG,Available,1
CRB4083552,SCX222,,S05,Available,1
CRB4083558,PYY667,,UJ Bridal WB PG,Available,1
CRB4084647,SMI741,,UJ Love Ring SM YG,Available,1
CRB4084647,SQD572,,UJ Love Ring SM YG,Available,1
CRB4084648,SMW738,,C020,Available,1
CRB4084649,SDB500,,UJ Love Ring SM YG,Available,1
CRB4084649,SNX198,,UJ Love Ring SM YG,Available,1
CRB4084649,SNX212,,UJ Love Ring SM YG,Available,1
CRB4084649,SNY161,,UJ Love Ring SM YG,Available,1
CRB4084649,SNY616,,UJ Love Ring SM YG,Available,1
CRB4084650,RPR979,,UJ Love Ring SM YG,Available,1
CRB4084650,SCZ489,,UJ Love Ring SM YG,Available,1
CRB4084650,SGK613,,UJ Love Ring SM YG,Available,1
CRB4084650,STN446,,UJ Love Ring SM YG,Available,1
CRB4084650,UBR790,,UJ Love Ring SM YG,Available,1
CRB4084651,STN477,,UJ Love Ring SM YG,Available,1
CRB4084651,SZX075,,UJ Love Ring SM YG,Available,1
CRB4084651,SZX084,,UJ Love Ring SM YG,Available,1
CRB4084651,TMY844,,UJ Love Ring SM YG,Available,1
CRB4084652,ROM194,,UJ Love Ring SM YG,Available,1
CRB4084652,RPX490,,UJ Love Ring SM YG,Available,1
CRB4084652,RTX822,,UJ Love Ring SM YG,Available,1
CRB4084652,SCZ725,,UJ Love Ring SM YG,Available,1
CRB4084652,STN678,,UJ Love Ring SM YG,Available,1
CRB4084652,UEF502,,UJ Love Ring SM YG,Available,1
CRB4084653,RTZ266,,UJ Love Ring SM YG,Available,1
CRB4084653,TAE648,,UJ Love Ring SM YG,Available,1
CRB4084653,TAE649,,UJ Love Ring SM YG,Available,1
CRB4084653,TAE650,,UJ Love Ring SM YG,Available,1
CRB4084653,TAE847,,UJ Love Ring SM YG,Available,1
CRB4084653,TPZ215,,UJ Love Ring SM YG,Available,1
CRB4084653,TPZ217,,UJ Love Ring SM YG,Available,1
CRB4084653,TUC857,,UJ Love Ring SM YG,Available,1
CRB4084654,SUY950,,UJ Love Ring SM YG,Available,1
CRB4084654,SZT314,,UJ Love Ring SM YG,Available,1
CRB4084654,SZT327,,UJ Love Ring SM YG,Available,1
CRB4084654,TOY252,,UJ Love Ring SM YG,Available,1
CRB4084654,TOY256,,UJ Love Ring SM YG,Available,1
CRB4084654,TUC279,,UJ Love Ring SM YG,Available,1
